,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
78,Jickow,Bodhisattva - Extended Mix,0.72,0.765,1.0,-7.542,1.0,0.0447,0.0109,0.886,0.0992,0.424,122.992,440976.0,4.0
79,Nors Kode,Lu,0.751,0.773,8.0,-9.291,1.0,0.0458,0.153,0.892,0.0755,0.0555,123.022,335610.0,4.0
80,Erly Tepshi,Hidden,0.805,0.673,7.0,-9.339,1.0,0.0532,0.00538,0.502,0.0895,0.039,120.005,350000.0,4.0
81,Ben Deeper,Hypernova,0.767,0.899,6.0,-8.197,1.0,0.0421,0.0374,0.901,0.11,0.0494,123.997,469000.0,4.0
82,Paradoks,Perceptions,0.807,0.568,11.0,-8.624,0.0,0.0583,0.00267,0.852,0.106,0.304,123.002,403979.0,4.0
83,Guzy,Funkenflug - Carlo Whale Remix,0.746,0.795,5.0,-10.27,0.0,0.0464,0.000978,0.845,0.126,0.179,120.024,422000.0,4.0
84,Dark Matter (ISR),Perception - Paul Angelo & Don Argento Remix,0.724,0.657,1.0,-11.79,1.0,0.0551,0.000755,0.869,0.126,0.0359,124.991,422970.0,4.0
85,Hollt,Glone,0.744,0.696,0.0,-9.298,1.0,0.0382,0.0517,0.87,0.111,0.321,120.993,399465.0,3.0
86,Heîk,Halcyon,0.624,0.744,1.0,-9.789,1.0,0.034,0.00296,0.842,0.123,0.332,124.003,375531.0,4.0
87,David Di Sabato,Long Gone - Paul Anthonee Interpretation,0.735,0.762,11.0,-7.395,0.0,0.0496,0.00181,0.869,0.101,0.0332,123.016,463116.0,4.0
88,Erly Tepshi,Seven Deadly Sins,0.762,0.789,7.0,-9.91,1.0,0.0665,0.0166,0.824,0.0955,0.384,123.997,311613.0,4.0
89,Collective States,Resurrection,0.79,0.787,0.0,-8.514,1.0,0.0644,0.00171,0.878,0.0476,0.307,124.992,448815.0,4.0
90,Rauschhaus,Osc,0.762,0.94,6.0,-9.046,0.0,0.0411,0.00062,0.852,0.151,0.0287,124.021,435484.0,4.0
91,Giorgia Angiuli,Rainbow Island,0.774,0.877,2.0,-10.085,1.0,0.0415,0.000607,0.876,0.105,0.0994,125.023,384000.0,4.0
92,Der Effekt,Oblivion - David Lindmer Remix,0.705,0.862,11.0,-10.145,0.0,0.0357,0.00677,0.822,0.0819,0.0278,123.996,460800.0,4.0
93,DAYKON,Moon,0.685,0.688,10.0,-10.969,0.0,0.0386,0.312,0.857,0.138,0.303,122.997,527112.0,4.0
94,Naji Arun,Faded Memories - BLANCAh Remix,0.593,0.796,1.0,-9.76,1.0,0.0443,0.00872,0.878,0.227,0.234,123.987,464516.0,3.0
95,Arude,Your Eyes,0.799,0.547,2.0,-10.25,1.0,0.116,0.00338,0.841,0.0772,0.352,124.008,457247.0,4.0
96,WO-CORE,Sonic - Original Mix,0.643,0.6,2.0,-9.718,1.0,0.0361,0.00255,0.715,0.0792,0.228,121.993,346230.0,4.0
97,ZAC,Kosmos,0.801,0.727,10.0,-11.35,0.0,0.0476,0.183,0.923,0.0825,0.0308,122.999,405854.0,4.0
98,Far Distance,Change the World,0.684,0.826,10.0,-9.132,0.0,0.0407,0.000155,0.849,0.0618,0.21,125.002,384000.0,4.0
99,Eddy Tango,Storming,0.639,0.806,4.0,-8.456,0.0,0.0348,0.0104,0.851,0.107,0.0331,122.006,448013.0,4.0
100,Marcus Meinhardt,Mars Attack,0.762,0.817,1.0,-10.677,1.0,0.0515,0.00157,0.839,0.0903,0.231,123.001,409180.0,4.0
101,Jean Vayat,Fine!,0.793,0.504,1.0,-10.2,0.0,0.0597,0.002,0.898,0.1,0.0413,121.014,458182.0,4.0
102,Jonas Saalbach,Cellophane - Magit Cacoon Remix,0.706,0.683,1.0,-8.933,1.0,0.0632,0.00556,0.709,0.101,0.236,123.975,376656.0,4.0
103,Heerhorst,Crescendo - Original Mix,0.802,0.869,10.0,-7.733,0.0,0.0464,0.00309,0.903,0.0494,0.0642,122.005,472125.0,4.0
104,Noyers,Time Code - Ziger Remix,0.598,0.693,5.0,-12.702,0.0,0.0366,0.0042,0.858,0.0809,0.0301,124.013,445161.0,4.0
105,Rïa Mehta,Unsaid - Anakim Remix,0.7,0.879,5.0,-8.486,1.0,0.0483,0.00069,0.854,0.105,0.036,122.999,494500.0,4.0
106,Lexer,Focus,0.685,0.532,7.0,-12.242,1.0,0.0527,0.0523,0.891,0.105,0.0766,122.002,446070.0,4.0
107,Yannek Maunz,Silence,0.801,0.844,2.0,-11.15,0.0,0.0459,0.085,0.723,0.086,0.0778,120.001,370000.0,4.0
108,S.ONE,Xenogenesis - Add-us Remix,0.679,0.824,10.0,-9.442,0.0,0.0395,0.00107,0.783,0.108,0.223,122.999,438129.0,4.0
109,Monarke,Liberate,0.804,0.528,7.0,-11.5,1.0,0.0768,0.000858,0.897,0.111,0.0848,124.991,433476.0,4.0
110,S.ONE,Filament,0.772,0.841,6.0,-8.849,0.0,0.0542,0.000146,0.842,0.0848,0.0714,122.004,397514.0,4.0
111,Eleven Of July,After Midnight,0.83,0.514,11.0,-10.587,0.0,0.056,0.00228,0.855,0.11,0.0646,123.001,413115.0,4.0
112,Kalmer,Alternate Path,0.725,0.727,6.0,-9.901,0.0,0.0543,0.0103,0.905,0.112,0.117,122.994,419512.0,4.0
113,Moeaike,Stealing Dreams,0.758,0.645,7.0,-11.344,0.0,0.0538,0.00832,0.816,0.0925,0.0368,125.002,414735.0,4.0
114,Alex Lur,Let Love Shine - Tone Depth Remix,0.739,0.511,2.0,-12.198,1.0,0.0459,0.00318,0.693,0.0987,0.0391,124.013,363669.0,4.0
